"Observations" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20"
"24" "10" "7" "23" "2" "8" "0" "2" "0" "1" "3" "4" "0" "9" "16" "5" "18" "20" "17" "15" "7"
"25" "4" "1" "8" "0" "273" "30" "15" "4" "3" "9" "54" "2" "31" "29" "42" "10" "9" "3" "66" "22"
"26" "3" "1" "3" "4" "1" "0" "3" "7" "1" "7" "1" "2" "0" "2" "0" "2" "1" "0" "1" "0"
"27" "4" "1" "0" "0" "4" "0" "0" "2" "0" "1" "2" "1" "4" "2" "1" "0" "2" "0" "3" "0"
"28" "0" "0" "2" "1" "7" "4" "0" "2" "0" "1" "16" "2" "17" "1" "0" "0" "0" "0" "0" "0"
"29" "1" "76" "0" "0" "7" "35" "14" "0" "70" "0" "47" "0" "35" "384" "157" "48" "4" "59" "22" "1"
"30" "1" "22" "0" "1" "5" "0" "5" "2" "78" "1" "79" "0" "5" "7" "10" "2" "6" "5" "3" "55"
"31" "1" "1" "0" "0" "3" "7" "1" "2" "0" "3" "6" "0" "1" "2" "1" "0" "2" "2" "2" "5"
"32" "1" "0" "0" "0" "1" "0" "0" "0" "0" "0" "1" "1" "0" "1" "0" "0" "1" "0" "0" "2"
"33" "8" "2" "26" "6" "53" "3" "29" "2" "7" "15" "5" "1" "3" "53" "14" "6" "30" "7" "55" "9"
"34" "5" "7" "13" "6" "140" "28" "7" "0" "36" "11" "22" "4" "44" "914" "33" "9" "62" "22" "32" "13"
"35" "0" "6" "1" "0" "3" "11" "1" "0" "3" "1" "4" "1" "9" "43" "18" "5" "2" "8" "4" "9"
"36" "1" "0" "29" "0" "11" "8" "11" "2" "0" "6" "0" "0" "6" "0" "16" "14" "5" "2" "10" "0"
"37" "3" "0" "0" "2" "6" "2" "0" "0" "0" "15" "18" "0" "3" "1" "3" "1" "4" "3" "6" "1"
"38" "2" "9" "5" "0" "9" "6" "18" "2" "23" "5" "3" "0" "9" "55" "0" "0" "4" "1" "13" "38"
"39" "3" "1" "4" "3" "12" "9" "10" "7" "5" "3" "1" "8" "1" "13" "7" "7" "18" "1" "12" "0"
"40" "2" "1" "3" "3" "12" "4" "19" "1" "13" "4" "2" "0" "0" "3" "4" "16" "3" "2" "16" "7"
"41" "2" "0" "11" "0" "0" "0" "4" "5" "1" "0" "2" "7" "1" "0" "0" "1" "21" "0" "1" "2"
"42" "7" "2" "5" "13" "14" "5" "9" "9" "10" "8" "4" "3" "1" "27" "6" "8" "2" "7" "15" "17"
"43" "1" "1" "0" "1" "13" "2" "4" "10" "0" "0" "1" "3" "2" "1" "0" "0" "10" "0" "1" "0"
"44" "232" "10" "163" "22" "1197" "21" "4012" "60" "258" "626" "168" "8" "9" "5513" "36" "424" "392" "178" "4885" "574"
"45" "0" "3" "0" "1" "2" "5" "0" "1" "1" "0" "14" "0" "2" "0" "5" "1" "0" "0" "3" "0"
"46" "0" "0" "0" "2" "3" "21" "0" "0" "0" "1" "1" "0" "0" "4" "2" "0" "1" "2" "1" "1"
"47" "0" "8" "1" "2" "1" "0" "2" "2" "16" "1" "0" "1" "7" "21" "0" "4" "0" "3" "0" "5"
"48" "0" "0" "1" "7" "1" "39" "0" "0" "0" "0" "18" "0" "13" "6" "5" "0" "1" "6" "0" "2"
"49" "6" "0" "2" "2" "59" "6" "4" "8" "1" "1" "5" "8" "22" "1" "5" "6" "2" "16" "5" "3"
"50" "44" "8" "249" "10" "1025" "39" "1105" "7" "335" "89" "52" "5" "46" "4974" "53" "641" "147" "28" "3198" "74"
"51" "1" "17" "2" "0" "1" "3" "0" "1" "2" "1" "5" "0" "12" "13" "9" "0" "0" "1" "1" "6"
"52" "84" "5" "69" "16" "224" "23" "245" "23" "79" "147" "106" "3" "29" "1287" "87" "73" "96" "95" "1592" "67"
"53" "1" "4" "3" "4" "262" "11" "13" "5" "19" "8" "9" "3" "499" "180" "53" "23" "30" "7" "42" "37"
"54" "18" "1" "8" "4" "287" "1" "155" "1" "17" "8" "64" "5" "31" "138" "36" "150" "45" "17" "88" "79"
"55" "0" "1" "11" "0" "50" "1" "1" "4" "0" "0" "0" "5" "44" "1" "14" "0" "2" "1" "2" "12"
"56" "1" "2" "4" "4" "107" "1" "0" "1" "1" "1" "7" "0" "22" "9" "186" "6" "3" "5" "22" "3"
"57" "2" "2" "3" "0" "139" "54" "2" "2" "1" "15" "50" "2" "32" "24" "51" "14" "1" "7" "161" "3"
"58" "2" "1" "6" "0" "8" "3" "2" "3" "1" "3" "30" "0" "5" "85" "4" "0" "3" "6" "6" "1"
"59" "0" "1" "2" "0" "1" "0" "0" "1" "0" "0" "0" "2" "0" "0" "1" "0" "1" "2" "1" "0"
"60" "4" "1" "4" "2" "5" "5" "0" "0" "0" "1" "2" "1" "2" "1" "32" "0" "3" "1" "2" "2"
"61" "0" "4" "2" "1" "6" "4" "0" "0" "2" "1" "27" "0" "7" "21" "4" "6" "1" "1" "1" "0"
"62" "2" "5" "7" "1" "17" "3" "14" "0" "0" "9" "2" "1" "4" "102" "7" "2" "85" "16" "17" "10"
"63" "0" "1" "0" "0" "0" "16" "0" "2" "2" "0" "4" "2" "4" "2" "10" "1" "0" "0" "1" "0"
"64" "1" "0" "6" "5" "110" "6" "0" "2" "0" "9" "4" "1" "1" "3" "109" "3" "0" "4" "8" "6"
"65" "8" "0" "4" "1" "37" "23" "0" "1" "1" "6" "9" "2" "64" "6" "20" "1" "4" "4" "51" "2"
"66" "3" "1" "2" "3" "2" "0" "3" "2" "0" "1" "0" "0" "0" "0" "1" "0" "8" "0" "3" "1"
"67" "0" "1" "4" "0" "3" "4" "0" "3" "0" "1" "0" "0" "1" "0" "4" "1" "0" "0" "0" "0"
"68" "0" "1" "15" "0" "32" "13" "0" "1" "0" "8" "5" "1" "16" "23" "50" "1" "1" "5" "3" "16"
"69" "10" "4" "6" "0" "289" "40" "2" "4" "6" "6" "20" "0" "65" "560" "566" "76" "10" "13" "851" "26"
"70" "1" "1" "3" "0" "24" "0" "6" "0" "15" "2" "18" "0" "1" "9" "4" "9" "13" "7" "1" "4"
"71" "0" "2" "3" "1" "9" "10" "0" "0" "4" "0" "6" "2" "8" "8" "34" "4" "1" "12" "3" "4"
"72" "1" "0" "1" "0" "33" "6" "0" "5" "1" "0" "3" "2" "27" "5" "0" "1" "2" "4" "24" "1"
"73" "1" "3" "2" "1" "33" "5" "0" "0" "8" "0" "26" "0" "49" "20" "2250" "1" "0" "29" "15" "4"
"74" "6" "33" "1" "0" "20" "22" "8" "1" "134" "10" "40" "2" "74" "105" "17" "78" "14" "0" "32" "10"
"75" "0" "1" "0" "1" "8" "9" "1" "1" "0" "1" "0" "0" "13" "0" "7" "1" "0" "1" "1" "1"
"76" "1" "2" "3" "0" "2" "5" "0" "0" "2" "0" "0" "2" "1" "2" "18" "1" "4" "8" "0" "1"
"77" "3" "2" "8" "1" "74" "45" "8" "3" "1" "6" "53" "0" "15" "87" "36" "18" "19" "10" "138" "3"
"78" "1" "1" "3" "0" "18" "15" "6" "1" "0" "1" "11" "0" "9" "6" "29" "22" "5" "3" "2" "3"
"79" "85" "2" "201" "3" "641" "24" "744" "5" "50" "54" "0" "19" "10" "319" "130" "147" "292" "8" "154" "18"
"80" "2" "43" "5" "0" "127" "69" "4" "4" "129" "4" "248" "0" "99" "526" "1536" "50" "6" "65" "147" "170"
"81" "0" "5" "3" "2" "3" "7" "2" "1" "0" "1" "4" "2" "0" "4" "3" "12" "1" "3" "5" "3"
"82" "3" "0" "3" "1" "4" "7" "1" "0" "0" "0" "0" "0" "0" "2" "23" "2" "4" "1" "20" "4"
"83" "97" "10" "65" "2" "65" "13" "139" "2" "114" "15" "24" "0" "14" "579" "64" "71" "17" "23" "90" "286"
"84" "6" "0" "13" "0" "14" "0" "7" "10" "6" "42" "0" "1" "1" "54" "18" "1" "20" "8" "1" "15"
"85" "2" "37" "1" "0" "57" "47" "12" "2" "14" "12" "46" "0" "32" "140" "93" "94" "10" "20" "634" "25"
"86" "0" "7" "3" "2" "5" "6" "6" "1" "4" "6" "18" "0" "4" "85" "133" "1" "6" "3" "83" "6"
"87" "0" "0" "0" "0" "4" "3" "1" "0" "0" "0" "12" "0" "22" "2" "3" "2" "1" "4" "0" "5"
"88" "0" "1" "4" "6" "12" "4" "2" "0" "0" "1" "16" "1" "5" "2" "31" "0" "7" "2" "7" "0"
"89" "3" "20" "9" "2" "51" "19" "6" "1" "197" "15" "31" "1" "20" "723" "409" "133" "3" "75" "206" "125"
"90" "1" "1" "7" "1" "257" "5" "4" "3" "0" "1" "10" "12" "102" "9" "74" "3" "8" "39" "5" "8"
"91" "7" "1" "26" "2" "73" "7" "13" "1" "5" "14" "109" "2" "10" "32" "8" "6" "56" "7" "43" "31"
"92" "2" "0" "19" "8" "70" "15" "37" "6" "0" "32" "15" "1" "6" "108" "42" "3" "9" "7" "26" "30"
"93" "28" "8" "14" "1" "661" "36" "3" "9" "45" "6" "22" "8" "25" "103" "37" "359" "19" "55" "971" "13"
"94" "0" "0" "5" "4" "140" "17" "3" "1" "9" "3" "19" "15" "53" "29" "97" "10" "33" "24" "41" "37"
"95" "8" "18" "5" "0" "52" "65" "43" "4" "39" "7" "8" "0" "10" "227" "90" "11" "4" "10" "195" "1"
"96" "0" "1" "0" "0" "0" "1" "0" "0" "1" "1" "0" "1" "3" "1" "0" "0" "0" "0" "0" "0"
"97" "0" "2" "2" "1" "5" "1" "1" "1" "0" "0" "8" "1" "13" "5" "9" "21" "0" "0" "9" "0"
"98" "3" "0" "7" "15" "21" "0" "7" "1" "0" "5" "1" "9" "4" "2" "2" "3" "9" "0" "2" "0"
"99" "0" "1" "0" "0" "2" "2" "0" "4" "1" "0" "1" "0" "3" "0" "0" "0" "0" "2" "0" "3"
"100" "18" "5" "16" "0" "236" "48" "16" "3" "20" "23" "65" "13" "25" "30" "130" "81" "36" "79" "1815" "148"
